trip_id,event_time,lambda_received_time,delay_seconds,source_file
cab_988707,2025-03-30 19:21:01,2025-03-30 19:21:18,17.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_861427,2025-03-30 19:21:03,2025-03-30 19:21:18,15.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_344908,2025-03-30 19:21:04,2025-03-30 19:21:18,14.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_526024,2025-03-30 19:21:05,2025-03-30 19:21:18,13.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_985739,2025-03-30 19:21:06,2025-03-30 19:21:18,12.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_740242,2025-03-30 19:21:07,2025-03-30 19:21:18,11.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_630920,2025-03-30 19:21:08,2025-03-30 19:21:18,10.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_430723,2025-03-30 19:21:10,2025-03-30 19:21:18,8.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_988580,2025-03-30 19:21:11,2025-03-30 19:21:18,7.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_371666,2025-03-30 19:21:12,2025-03-30 19:21:18,6.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_871781,2025-03-30 19:21:13,2025-03-30 19:21:18,5.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_833803,2025-03-30 19:21:14,2025-03-30 19:21:18,4.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_651242,2025-03-30 19:21:15,2025-03-30 19:21:18,3.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_751863,2025-03-30 19:21:16,2025-03-30 19:21:32,16.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_722834,2025-03-30 19:21:17,2025-03-30 19:21:32,15.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_137579,2025-03-30 19:21:18,2025-03-30 19:21:32,14.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_170213,2025-03-30 19:21:19,2025-03-30 19:21:32,13.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_548006,2025-03-30 19:21:21,2025-03-30 19:21:32,11.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_617058,2025-03-30 19:21:22,2025-03-30 19:21:32,10.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_274485,2025-03-30 19:21:23,2025-03-30 19:21:32,9.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_408070,2025-03-30 19:21:24,2025-03-30 19:21:32,8.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_436704,2025-03-30 19:21:25,2025-03-30 19:21:32,7.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_490404,2025-03-30 19:21:26,2025-03-30 19:21:32,6.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_368896,2025-03-30 19:21:27,2025-03-30 19:21:32,5.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_165073,2025-03-30 19:21:28,2025-03-30 19:21:32,4.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_736015,2025-03-30 19:21:29,2025-03-30 19:21:32,3.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_938757,2025-03-30 19:21:30,2025-03-30 19:21:47,17.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_918341,2025-03-30 19:21:32,2025-03-30 19:21:47,15.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_999653,2025-03-30 19:21:33,2025-03-30 19:21:47,14.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_486351,2025-03-30 19:21:34,2025-03-30 19:21:47,13.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_871899,2025-03-30 19:21:35,2025-03-30 19:21:47,12.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_438481,2025-03-30 19:21:36,2025-03-30 19:21:47,11.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_627277,2025-03-30 19:21:37,2025-03-30 19:21:47,10.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_315087,2025-03-30 19:21:38,2025-03-30 19:21:47,9.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_102302,2025-03-30 19:21:39,2025-03-30 19:21:47,8.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_183870,2025-03-30 19:21:40,2025-03-30 19:21:47,7.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_761699,2025-03-30 19:21:42,2025-03-30 19:21:47,5.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_821899,2025-03-30 19:21:43,2025-03-30 19:21:47,4.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_702853,2025-03-30 19:21:44,2025-03-30 19:21:47,3.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_136604,2025-03-30 19:21:45,2025-03-30 19:22:01,16.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_223554,2025-03-30 19:21:46,2025-03-30 19:22:01,15.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_881990,2025-03-30 19:21:47,2025-03-30 19:22:01,14.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_404497,2025-03-30 19:21:48,2025-03-30 19:22:01,13.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_846057,2025-03-30 19:21:49,2025-03-30 19:22:01,12.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_722269,2025-03-30 19:21:50,2025-03-30 19:22:01,11.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_946681,2025-03-30 19:21:51,2025-03-30 19:22:01,10.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_873414,2025-03-30 19:21:53,2025-03-30 19:22:01,8.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_941333,2025-03-30 19:21:54,2025-03-30 19:22:01,7.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_839997,2025-03-30 19:21:55,2025-03-30 19:22:01,6.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_975445,2025-03-30 19:21:56,2025-03-30 19:22:01,5.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_994379,2025-03-30 19:21:57,2025-03-30 19:22:01,4.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_996028,2025-03-30 19:21:58,2025-03-30 19:22:01,3.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_748165,2025-03-30 19:21:59,2025-03-30 19:22:01,2.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_381005,2025-03-30 19:22:00,2025-03-30 19:22:16,16.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_314649,2025-03-30 19:22:01,2025-03-30 19:22:16,15.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_928181,2025-03-30 19:22:02,2025-03-30 19:22:16,14.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_488647,2025-03-30 19:22:04,2025-03-30 19:22:16,12.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_759958,2025-03-30 19:22:05,2025-03-30 19:22:16,11.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_980292,2025-03-30 19:22:06,2025-03-30 19:22:16,10.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
cab_118953,2025-03-30 19:22:07,2025-03-30 19:22:16,9.0,taxi_streaming_raw_data-7-2025-03-30-19-21-03-ca9a6c2b-f21a-3938-a2d1-1e7c4479abc1.parquet
